Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;;Ambos sexos;Todas las edades;3.539
Total Nacional;;Ambos sexos;Menores de 15 años;7
Total Nacional;;Ambos sexos;De 15 a 29 años;268
Total Nacional;;Ambos sexos;De 30 a 39 años;396
Total Nacional;;Ambos sexos;De 40 a 44 años;315
Total Nacional;;Ambos sexos;De 45 a 49 años;393
Total Nacional;;Ambos sexos;De 50 a 54 años;377
Total Nacional;;Ambos sexos;De 55 a 59 años;381
Total Nacional;;Ambos sexos;De 60 a 64 años;273
Total Nacional;;Ambos sexos;De 65 a 69 años;239
Total Nacional;;Ambos sexos;De 70 a 74 años;230
Total Nacional;;Ambos sexos;De 75 a 79 años;173
Total Nacional;;Ambos sexos;De 80 a 84 años;228
Total Nacional;;Ambos sexos;De 85 a 89 años;175
Total Nacional;;Ambos sexos;De 90 a 94 años;73
Total Nacional;;Ambos sexos;De 95 años y más;11
Total Nacional;;Hombres;Todas las edades;2.619
Total Nacional;;Hombres;Menores de 15 años;4
Total Nacional;;Hombres;De 15 a 29 años;203
Total Nacional;;Hombres;De 30 a 39 años;309
Total Nacional;;Hombres;De 40 a 44 años;236
Total Nacional;;Hombres;De 45 a 49 años;298
Total Nacional;;Hombres;De 50 a 54 años;280
Total Nacional;;Hombres;De 55 a 59 años;275
Total Nacional;;Hombres;De 60 a 64 años;196
Total Nacional;;Hombres;De 65 a 69 años;164
Total Nacional;;Hombres;De 70 a 74 años;160
Total Nacional;;Hombres;De 75 a 79 años;129
Total Nacional;;Hombres;De 80 a 84 años;167
Total Nacional;;Hombres;De 85 a 89 años;134
Total Nacional;;Hombres;De 90 a 94 años;56
Total Nacional;;Hombres;De 95 años y más;8
Total Nacional;;Mujeres;Todas las edades;920
Total Nacional;;Mujeres;Menores de 15 años;3
Total Nacional;;Mujeres;De 15 a 29 años;65
Total Nacional;;Mujeres;De 30 a 39 años;87
Total Nacional;;Mujeres;De 40 a 44 años;79
Total Nacional;;Mujeres;De 45 a 49 años;95
Total Nacional;;Mujeres;De 50 a 54 años;97
Total Nacional;;Mujeres;De 55 a 59 años;106
Total Nacional;;Mujeres;De 60 a 64 años;77
Total Nacional;;Mujeres;De 65 a 69 años;75
