Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;4.227
Todas las edades;Total;Hombres;3.126
Todas las edades;Total;Mujeres;1.101
Todas las edades;Española;Ambos sexos;3.772
Todas las edades;Española;Hombres;2.796
Todas las edades;Española;Mujeres;976
Todas las edades;Extranjera;Ambos sexos;455
Todas las edades;Extranjera;Hombres;330
Todas las edades;Extranjera;Mujeres;125
Todas las edades;No consta;Ambos sexos;0
Todas las edades;No consta;Hombres;0
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;12
Menores de 15 años;Total;Hombres;9
Menores de 15 años;Total;Mujeres;3
Menores de 15 años;Española;Ambos sexos;9
Menores de 15 años;Española;Hombres;6
Menores de 15 años;Española;Mujeres;3
Menores de 15 años;Extranjera;Ambos sexos;3
Menores de 15 años;Extranjera;Hombres;3
Menores de 15 años;Extranjera;Mujeres;0
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;341
De 15 a 29 años;Total;Hombres;224
De 15 a 29 años;Total;Mujeres;117
De 15 a 29 años;Española;Ambos sexos;252
De 15 a 29 años;Española;Hombres;165
De 15 a 29 años;Española;Mujeres;87
De 15 a 29 años;Extranjera;Ambos sexos;89
De 15 a 29 años;Extranjera;Hombres;59
De 15 a 29 años;Extranjera;Mujeres;30
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;436
De 30 a 39 años;Total;Hombres;336
De 30 a 39 años;Total;Mujeres;100
De 30 a 39 años;Española;Ambos sexos;344
De 30 a 39 años;Española;Hombres;270
De 30 a 39 años;Española;Mujeres;74
De 30 a 39 años;Extranjera;Ambos sexos;92
De 30 a 39 años;Extranjera;Hombres;66
De 30 a 39 años;Extranjera;Mujeres;26
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;350
De 40 a 44 años;Total;Hombres;273
De 40 a 44 años;Total;Mujeres;77
De 40 a 44 años;Española;Ambos sexos;305
De 40 a 44 años;Española;Hombres;240
De 40 a 44 años;Española;Mujeres;65
De 40 a 44 años;Extranjera;Ambos sexos;45
De 40 a 44 años;Extranjera;Hombres;33
De 40 a 44 años;Extranjera;Mujeres;12
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;444
De 45 a 49 años;Total;Hombres;332
De 45 a 49 años;Total;Mujeres;112
De 45 a 49 años;Española;Ambos sexos;395
De 45 a 49 años;Española;Hombres;295
De 45 a 49 años;Española;Mujeres;100
De 45 a 49 años;Extranjera;Ambos sexos;49
De 45 a 49 años;Extranjera;Hombres;37
De 45 a 49 años;Extranjera;Mujeres;12
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;486
De 50 a 54 años;Total;Hombres;352
De 50 a 54 años;Total;Mujeres;134
De 50 a 54 años;Española;Ambos sexos;445
De 50 a 54 años;Española;Hombres;324
De 50 a 54 años;Española;Mujeres;121
De 50 a 54 años;Extranjera;Ambos sexos;41
De 50 a 54 años;Extranjera;Hombres;28
De 50 a 54 años;Extranjera;Mujeres;13
De 50 a 54 años;No consta;Ambos sexos;0
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;479
De 55 a 59 años;Total;Hombres;354
De 55 a 59 años;Total;Mujeres;125
De 55 a 59 años;Española;Ambos sexos;436
De 55 a 59 años;Española;Hombres;320
De 55 a 59 años;Española;Mujeres;116
De 55 a 59 años;Extranjera;Ambos sexos;43
De 55 a 59 años;Extranjera;Hombres;34
De 55 a 59 años;Extranjera;Mujeres;9
De 55 a 59 años;No consta;Ambos sexos;0
De 55 a 59 años;No consta;Hombres;0
De 55 a 59 años;No consta;Mujeres;0
De 60 a 64 años;Total;Ambos sexos;385
De 60 a 64 años;Total;Hombres;297
De 60 a 64 años;Total;Mujeres;88
De 60 a 64 años;Española;Ambos sexos;359
De 60 a 64 años;Española;Hombres;278
De 60 a 64 años;Española;Mujeres;81
De 60 a 64 años;Extranjera;Ambos sexos;26
De 60 a 64 años;Extranjera;Hombres;19
De 60 a 64 años;Extranjera;Mujeres;7
De 60 a 64 años;No consta;Ambos sexos;0
De 60 a 64 años;No consta;Hombres;0
De 60 a 64 años;No consta;Mujeres;0
De 65 a 69 años;Total;Ambos sexos;278
De 65 a 69 años;Total;Hombres;197
De 65 a 69 años;Total;Mujeres;81
De 65 a 69 años;Española;Ambos sexos;257
De 65 a 69 años;Española;Hombres;182
De 65 a 69 años;Española;Mujeres;75
De 65 a 69 años;Extranjera;Ambos sexos;21
De 65 a 69 años;Extranjera;Hombres;15
De 65 a 69 años;Extranjera;Mujeres;6
De 65 a 69 años;No consta;Ambos sexos;0
De 65 a 69 años;No consta;Hombres;0
De 65 a 69 años;No consta;Mujeres;0
De 70 a 74 años;Total;Ambos sexos;275
De 70 a 74 años;Total;Hombres;188
De 70 a 74 años;Total;Mujeres;87
De 70 a 74 años;Española;Ambos sexos;256
De 70 a 74 años;Española;Hombres;175
