Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;4.116
Todos los meses;Ambos sexos;Menores de 15 años;10
Todos los meses;Ambos sexos;De 15 a 29 años;354
Todos los meses;Ambos sexos;De 30 a 39 años;461
Todos los meses;Ambos sexos;De 40 a 44 años;355
Todos los meses;Ambos sexos;De 45 a 49 años;445
Todos los meses;Ambos sexos;De 50 a 54 años;441
Todos los meses;Ambos sexos;De 55 a 59 años;457
Todos los meses;Ambos sexos;De 60 a 64 años;362
Todos los meses;Ambos sexos;De 65 a 69 años;292
Todos los meses;Ambos sexos;De 70 a 74 años;216
Todos los meses;Ambos sexos;De 75 a 79 años;250
Todos los meses;Ambos sexos;De 80 a 84 años;204
Todos los meses;Ambos sexos;De 85 a 89 años;166
Todos los meses;Ambos sexos;De 90 a 94 años;86
Todos los meses;Ambos sexos;De 95 años y más;17
Todos los meses;Hombres;Todas las edades;3.044
Todos los meses;Hombres;Menores de 15 años;3
Todos los meses;Hombres;De 15 a 29 años;256
Todos los meses;Hombres;De 30 a 39 años;342
Todos los meses;Hombres;De 40 a 44 años;264
Todos los meses;Hombres;De 45 a 49 años;337
Todos los meses;Hombres;De 50 a 54 años;320
Todos los meses;Hombres;De 55 a 59 años;335
Todos los meses;Hombres;De 60 a 64 años;269
Todos los meses;Hombres;De 65 a 69 años;214
Todos los meses;Hombres;De 70 a 74 años;163
Todos los meses;Hombres;De 75 a 79 años;173
Todos los meses;Hombres;De 80 a 84 años;154
Todos los meses;Hombres;De 85 a 89 años;130
Todos los meses;Hombres;De 90 a 94 años;71
Todos los meses;Hombres;De 95 años y más;13
Todos los meses;Mujeres;Todas las edades;1.072
Todos los meses;Mujeres;Menores de 15 años;7
Todos los meses;Mujeres;De 15 a 29 años;98
Todos los meses;Mujeres;De 30 a 39 años;119
Todos los meses;Mujeres;De 40 a 44 años;91
Todos los meses;Mujeres;De 45 a 49 años;108
Todos los meses;Mujeres;De 50 a 54 años;121
Todos los meses;Mujeres;De 55 a 59 años;122
Todos los meses;Mujeres;De 60 a 64 años;93
Todos los meses;Mujeres;De 65 a 69 años;78
Todos los meses;Mujeres;De 70 a 74 años;53
Todos los meses;Mujeres;De 75 a 79 años;77
Todos los meses;Mujeres;De 80 a 84 años;50
Todos los meses;Mujeres;De 85 a 89 años;36
Todos los meses;Mujeres;De 90 a 94 años;15
Todos los meses;Mujeres;De 95 años y más;4
enero;Ambos sexos;Todas las edades;341
enero;Ambos sexos;Menores de 15 años;1
enero;Ambos sexos;De 15 a 29 años;30
enero;Ambos sexos;De 30 a 39 años;32
enero;Ambos sexos;De 40 a 44 años;31
enero;Ambos sexos;De 45 a 49 años;36
enero;Ambos sexos;De 50 a 54 años;35
enero;Ambos sexos;De 55 a 59 años;39
enero;Ambos sexos;De 60 a 64 años;24
enero;Ambos sexos;De 65 a 69 años;31
enero;Ambos sexos;De 70 a 74 años;23
enero;Ambos sexos;De 75 a 79 años;17
enero;Ambos sexos;De 80 a 84 años;17
enero;Ambos sexos;De 85 a 89 años;14
enero;Ambos sexos;De 90 a 94 años;10
enero;Ambos sexos;De 95 años y más;1
enero;Hombres;Todas las edades;262
enero;Hombres;Menores de 15 años;0
enero;Hombres;De 15 a 29 años;22
enero;Hombres;De 30 a 39 años;23
enero;Hombres;De 40 a 44 años;25
enero;Hombres;De 45 a 49 años;28
enero;Hombres;De 50 a 54 años;25
enero;Hombres;De 55 a 59 años;32
enero;Hombres;De 60 a 64 años;21
enero;Hombres;De 65 a 69 años;23
enero;Hombres;De 70 a 74 años;21
enero;Hombres;De 75 a 79 años;10
enero;Hombres;De 80 a 84 años;14
enero;Hombres;De 85 a 89 años;10
enero;Hombres;De 90 a 94 años;7
enero;Hombres;De 95 años y más;1
enero;Mujeres;Todas las edades;79
enero;Mujeres;Menores de 15 años;1
enero;Mujeres;De 15 a 29 años;8
enero;Mujeres;De 30 a 39 años;9
enero;Mujeres;De 40 a 44 años;6
enero;Mujeres;De 45 a 49 años;8
enero;Mujeres;De 50 a 54 años;10
enero;Mujeres;De 55 a 59 años;7
enero;Mujeres;De 60 a 64 años;3
enero;Mujeres;De 65 a 69 años;8
enero;Mujeres;De 70 a 74 años;2
enero;Mujeres;De 75 a 79 años;7
enero;Mujeres;De 80 a 84 años;3
enero;Mujeres;De 85 a 89 años;4
enero;Mujeres;De 90 a 94 años;3
enero;Mujeres;De 95 años y más;0
febrero;Ambos sexos;Todas las edades;306
febrero;Ambos sexos;Menores de 15 años;1
febrero;Ambos sexos;De 15 a 29 años;28
febrero;Ambos sexos;De 30 a 39 años;33
febrero;Ambos sexos;De 40 a 44 años;36
febrero;Ambos sexos;De 45 a 49 años;39
febrero;Ambos sexos;De 50 a 54 años;40
febrero;Ambos sexos;De 55 a 59 años;29
febrero;Ambos sexos;De 60 a 64 años;24
febrero;Ambos sexos;De 65 a 69 años;22
febrero;Ambos sexos;De 70 a 74 años;19
febrero;Ambos sexos;De 75 a 79 años;15
febrero;Ambos sexos;De 80 a 84 años;12
febrero;Ambos sexos;De 85 a 89 años;6
febrero;Ambos sexos;De 90 a 94 años;1
febrero;Ambos sexos;De 95 años y más;1
febrero;Hombres;Todas las edades;216
febrero;Hombres;Menores de 15 años;0
febrero;Hombres;De 15 a 29 años;24
febrero;Hombres;De 30 a 39 años;25
febrero;Hombres;De 40 a 44 años;23
febrero;Hombres;De 45 a 49 años;26
febrero;Hombres;De 50 a 54 años;24
febrero;Hombres;De 55 a 59 años;19
febrero;Hombres;De 60 a 64 años;15
febrero;Hombres;De 65 a 69 años;20
febrero;Hombres;De 70 a 74 años;12
febrero;Hombres;De 75 a 79 años;11
febrero;Hombres;De 80 a 84 años;12
febrero;Hombres;De 85 a 89 años;4
febrero;Hombres;De 90 a 94 años;1
febrero;Hombres;De 95 años y más;0
febrero;Mujeres;Todas las edades;90
febrero;Mujeres;Menores de 15 años;1
febrero;Mujeres;De 15 a 29 años;4
febrero;Mujeres;De 30 a 39 años;8
febrero;Mujeres;De 40 a 44 años;13
febrero;Mujeres;De 45 a 49 años;13
febrero;Mujeres;De 50 a 54 años;16
febrero;Mujeres;De 55 a 59 años;10
febrero;Mujeres;De 60 a 64 años;9
febrero;Mujeres;De 65 a 69 años;2
febrero;Mujeres;De 70 a 74 años;7
febrero;Mujeres;De 75 a 79 años;4
febrero;Mujeres;De 80 a 84 años;0
febrero;Mujeres;De 85 a 89 años;2
febrero;Mujeres;De 90 a 94 años;0
febrero;Mujeres;De 95 años y más;1
marzo;Ambos sexos;Todas las edades;378
marzo;Ambos sexos;Menores de 15 años;0
marzo;Ambos sexos;De 15 a 29 años;43
marzo;Ambos sexos;De 30 a 39 años;44
marzo;Ambos sexos;De 40 a 44 años;28
marzo;Ambos sexos;De 45 a 49 años;34
marzo;Ambos sexos;De 50 a 54 años;28
marzo;Ambos sexos;De 55 a 59 años;52
marzo;Ambos sexos;De 60 a 64 años;31
marzo;Ambos sexos;De 65 a 69 años;35
marzo;Ambos sexos;De 70 a 74 años;25
marzo;Ambos sexos;De 75 a 79 años;19
marzo;Ambos sexos;De 80 a 84 años;16
marzo;Ambos sexos;De 85 a 89 años;17
marzo;Ambos sexos;De 90 a 94 años;5
marzo;Ambos sexos;De 95 años y más;1
marzo;Hombres;Todas las edades;291
marzo;Hombres;Menores de 15 años;0
marzo;Hombres;De 15 a 29 años;29
marzo;Hombres;De 30 a 39 años;40
marzo;Hombres;De 40 a 44 años;22
marzo;Hombres;De 45 a 49 años;28
marzo;Hombres;De 50 a 54 años;23
marzo;Hombres;De 55 a 59 años;35
marzo;Hombres;De 60 a 64 años;23
marzo;Hombres;De 65 a 69 años;29
marzo;Hombres;De 70 a 74 años;19
marzo;Hombres;De 75 a 79 años;11
marzo;Hombres;De 80 a 84 años;14
marzo;Hombres;De 85 a 89 años;13
marzo;Hombres;De 90 a 94 años;4
marzo;Hombres;De 95 años y más;1
marzo;Mujeres;Todas las edades;87
marzo;Mujeres;Menores de 15 años;0
marzo;Mujeres;De 15 a 29 años;14
