Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;3.602
Todas las edades;Total;Hombres;2.680
Todas las edades;Total;Mujeres;922
Todas las edades;Española;Ambos sexos;3.311
Todas las edades;Española;Hombres;2.461
Todas las edades;Española;Mujeres;850
Todas las edades;Extranjera;Ambos sexos;290
Todas las edades;Extranjera;Hombres;218
Todas las edades;Extranjera;Mujeres;72
Todas las edades;No consta;Ambos sexos;1
Todas las edades;No consta;Hombres;1
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;8
Menores de 15 años;Total;Hombres;7
Menores de 15 años;Total;Mujeres;1
Menores de 15 años;Española;Ambos sexos;5
Menores de 15 años;Española;Hombres;4
Menores de 15 años;Española;Mujeres;1
Menores de 15 años;Extranjera;Ambos sexos;3
Menores de 15 años;Extranjera;Hombres;3
Menores de 15 años;Extranjera;Mujeres;0
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;296
De 15 a 29 años;Total;Hombres;218
De 15 a 29 años;Total;Mujeres;78
De 15 a 29 años;Española;Ambos sexos;225
De 15 a 29 años;Española;Hombres;166
De 15 a 29 años;Española;Mujeres;59
De 15 a 29 años;Extranjera;Ambos sexos;71
De 15 a 29 años;Extranjera;Hombres;52
De 15 a 29 años;Extranjera;Mujeres;19
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;427
De 30 a 39 años;Total;Hombres;332
De 30 a 39 años;Total;Mujeres;95
De 30 a 39 años;Española;Ambos sexos;378
De 30 a 39 años;Española;Hombres;296
De 30 a 39 años;Española;Mujeres;82
De 30 a 39 años;Extranjera;Ambos sexos;49
De 30 a 39 años;Extranjera;Hombres;36
De 30 a 39 años;Extranjera;Mujeres;13
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;355
De 40 a 44 años;Total;Hombres;259
De 40 a 44 años;Total;Mujeres;96
De 40 a 44 años;Española;Ambos sexos;320
De 40 a 44 años;Española;Hombres;230
De 40 a 44 años;Española;Mujeres;90
De 40 a 44 años;Extranjera;Ambos sexos;35
De 40 a 44 años;Extranjera;Hombres;29
De 40 a 44 años;Extranjera;Mujeres;6
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;387
De 45 a 49 años;Total;Hombres;276
De 45 a 49 años;Total;Mujeres;111
De 45 a 49 años;Española;Ambos sexos;352
De 45 a 49 años;Española;Hombres;250
De 45 a 49 años;Española;Mujeres;102
De 45 a 49 años;Extranjera;Ambos sexos;35
De 45 a 49 años;Extranjera;Hombres;26
De 45 a 49 años;Extranjera;Mujeres;9
