Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;;Ambos sexos;Todas las edades;3.671
Total Nacional;;Ambos sexos;Menores de 15 años;7
Total Nacional;;Ambos sexos;De 15 a 29 años;309
Total Nacional;;Ambos sexos;De 30 a 39 años;413
Total Nacional;;Ambos sexos;De 40 a 44 años;342
Total Nacional;;Ambos sexos;De 45 a 49 años;389
Total Nacional;;Ambos sexos;De 50 a 54 años;411
Total Nacional;;Ambos sexos;De 55 a 59 años;350
Total Nacional;;Ambos sexos;De 60 a 64 años;293
Total Nacional;;Ambos sexos;De 65 a 69 años;231
Total Nacional;;Ambos sexos;De 70 a 74 años;240
Total Nacional;;Ambos sexos;De 75 a 79 años;228
Total Nacional;;Ambos sexos;De 80 a 84 años;214
Total Nacional;;Ambos sexos;De 85 a 89 años;148
Total Nacional;;Ambos sexos;De 90 a 94 años;81
Total Nacional;;Ambos sexos;De 95 años y más;15
Total Nacional;;Hombres;Todas las edades;2.771
Total Nacional;;Hombres;Menores de 15 años;4
Total Nacional;;Hombres;De 15 a 29 años;235
Total Nacional;;Hombres;De 30 a 39 años;314
Total Nacional;;Hombres;De 40 a 44 años;263
Total Nacional;;Hombres;De 45 a 49 años;310
Total Nacional;;Hombres;De 50 a 54 años;301
Total Nacional;;Hombres;De 55 a 59 años;260
Total Nacional;;Hombres;De 60 a 64 años;207
Total Nacional;;Hombres;De 65 a 69 años;172
Total Nacional;;Hombres;De 70 a 74 años;177
Total Nacional;;Hombres;De 75 a 79 años;171
Total Nacional;;Hombres;De 80 a 84 años;163
Total Nacional;;Hombres;De 85 a 89 años;118
Total Nacional;;Hombres;De 90 a 94 años;63
Total Nacional;;Hombres;De 95 años y más;13
Total Nacional;;Mujeres;Todas las edades;900
Total Nacional;;Mujeres;Menores de 15 años;3
Total Nacional;;Mujeres;De 15 a 29 años;74
Total Nacional;;Mujeres;De 30 a 39 años;99
Total Nacional;;Mujeres;De 40 a 44 años;79
Total Nacional;;Mujeres;De 45 a 49 años;79
Total Nacional;;Mujeres;De 50 a 54 años;110
Total Nacional;;Mujeres;De 55 a 59 años;90
Total Nacional;;Mujeres;De 60 a 64 años;86
Total Nacional;;Mujeres;De 65 a 69 años;59
Total Nacional;;Mujeres;De 70 a 74 años;63
Total Nacional;;Mujeres;De 75 a 79 años;57
Total Nacional;;Mujeres;De 80 a 84 años;51
Total Nacional;;Mujeres;De 85 a 89 años;30
Total Nacional;;Mujeres;De 90 a 94 años;18
Total Nacional;;Mujeres;De 95 años y más;2
Total Nacional;01 Andalucía;Ambos sexos;Todas las edades;640
Total Nacional;01 Andalucía;Ambos sexos;Menores de 15 años;0
Total Nacional;01 Andalucía;Ambos sexos;De 15 a 29 años;46
Total Nacional;01 Andalucía;Ambos sexos;De 30 a 39 años;78
Total Nacional;01 Andalucía;Ambos sexos;De 40 a 44 años;69
Total Nacional;01 Andalucía;Ambos sexos;De 45 a 49 años;74
Total Nacional;01 Andalucía;Ambos sexos;De 50 a 54 años;75
