Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;3.671
Todos los meses;Ambos sexos;Menores de 15 años;7
Todos los meses;Ambos sexos;De 15 a 29 años;309
Todos los meses;Ambos sexos;De 30 a 39 años;413
Todos los meses;Ambos sexos;De 40 a 44 años;342
Todos los meses;Ambos sexos;De 45 a 49 años;389
Todos los meses;Ambos sexos;De 50 a 54 años;411
Todos los meses;Ambos sexos;De 55 a 59 años;350
Todos los meses;Ambos sexos;De 60 a 64 años;293
Todos los meses;Ambos sexos;De 65 a 69 años;231
Todos los meses;Ambos sexos;De 70 a 74 años;240
Todos los meses;Ambos sexos;De 75 a 79 años;228
Todos los meses;Ambos sexos;De 80 a 84 años;214
Todos los meses;Ambos sexos;De 85 a 89 años;148
Todos los meses;Ambos sexos;De 90 a 94 años;81
Todos los meses;Ambos sexos;De 95 años y más;15
Todos los meses;Hombres;Todas las edades;2.771
Todos los meses;Hombres;Menores de 15 años;4
Todos los meses;Hombres;De 15 a 29 años;235
Todos los meses;Hombres;De 30 a 39 años;314
Todos los meses;Hombres;De 40 a 44 años;263
Todos los meses;Hombres;De 45 a 49 años;310
Todos los meses;Hombres;De 50 a 54 años;301
Todos los meses;Hombres;De 55 a 59 años;260
Todos los meses;Hombres;De 60 a 64 años;207
Todos los meses;Hombres;De 65 a 69 años;172
Todos los meses;Hombres;De 70 a 74 años;177
Todos los meses;Hombres;De 75 a 79 años;171
Todos los meses;Hombres;De 80 a 84 años;163
Todos los meses;Hombres;De 85 a 89 años;118
Todos los meses;Hombres;De 90 a 94 años;63
Todos los meses;Hombres;De 95 años y más;13
Todos los meses;Mujeres;Todas las edades;900
Todos los meses;Mujeres;Menores de 15 años;3
Todos los meses;Mujeres;De 15 a 29 años;74
Todos los meses;Mujeres;De 30 a 39 años;99
Todos los meses;Mujeres;De 40 a 44 años;79
Todos los meses;Mujeres;De 45 a 49 años;79
Todos los meses;Mujeres;De 50 a 54 años;110
Todos los meses;Mujeres;De 55 a 59 años;90
Todos los meses;Mujeres;De 60 a 64 años;86
Todos los meses;Mujeres;De 65 a 69 años;59
Todos los meses;Mujeres;De 70 a 74 años;63
Todos los meses;Mujeres;De 75 a 79 años;57
Todos los meses;Mujeres;De 80 a 84 años;51
Todos los meses;Mujeres;De 85 a 89 años;30
Todos los meses;Mujeres;De 90 a 94 años;18
Todos los meses;Mujeres;De 95 años y más;2
enero;Ambos sexos;Todas las edades;303
enero;Ambos sexos;Menores de 15 años;0
enero;Ambos sexos;De 15 a 29 años;27
enero;Ambos sexos;De 30 a 39 años;31
enero;Ambos sexos;De 40 a 44 años;21
enero;Ambos sexos;De 45 a 49 años;33
enero;Ambos sexos;De 50 a 54 años;36
enero;Ambos sexos;De 55 a 59 años;27
enero;Ambos sexos;De 60 a 64 años;29
enero;Ambos sexos;De 65 a 69 años;20
enero;Ambos sexos;De 70 a 74 años;16
enero;Ambos sexos;De 75 a 79 años;22
enero;Ambos sexos;De 80 a 84 años;16
enero;Ambos sexos;De 85 a 89 años;14
enero;Ambos sexos;De 90 a 94 años;9
enero;Ambos sexos;De 95 años y más;2
enero;Hombres;Todas las edades;236
enero;Hombres;Menores de 15 años;0
enero;Hombres;De 15 a 29 años;23
enero;Hombres;De 30 a 39 años;26
enero;Hombres;De 40 a 44 años;17
enero;Hombres;De 45 a 49 años;30
enero;Hombres;De 50 a 54 años;24
enero;Hombres;De 55 a 59 años;21
enero;Hombres;De 60 a 64 años;19
enero;Hombres;De 65 a 69 años;12
enero;Hombres;De 70 a 74 años;14
enero;Hombres;De 75 a 79 años;16
enero;Hombres;De 80 a 84 años;13
enero;Hombres;De 85 a 89 años;11
enero;Hombres;De 90 a 94 años;9
enero;Hombres;De 95 años y más;1
enero;Mujeres;Todas las edades;67
enero;Mujeres;Menores de 15 años;0
enero;Mujeres;De 15 a 29 años;4
enero;Mujeres;De 30 a 39 años;5
enero;Mujeres;De 40 a 44 años;4
enero;Mujeres;De 45 a 49 años;3
enero;Mujeres;De 50 a 54 años;12
enero;Mujeres;De 55 a 59 años;6
enero;Mujeres;De 60 a 64 años;10
enero;Mujeres;De 65 a 69 años;8
enero;Mujeres;De 70 a 74 años;2
enero;Mujeres;De 75 a 79 años;6
enero;Mujeres;De 80 a 84 años;3
enero;Mujeres;De 85 a 89 años;3
enero;Mujeres;De 90 a 94 años;0
enero;Mujeres;De 95 años y más;1
febrero;Ambos sexos;Todas las edades;252
febrero;Ambos sexos;Menores de 15 años;1
febrero;Ambos sexos;De 15 a 29 años;21
febrero;Ambos sexos;De 30 a 39 años;34
febrero;Ambos sexos;De 40 a 44 años;24
febrero;Ambos sexos;De 45 a 49 años;25
febrero;Ambos sexos;De 50 a 54 años;29
febrero;Ambos sexos;De 55 a 59 años;20
febrero;Ambos sexos;De 60 a 64 años;26
febrero;Ambos sexos;De 65 a 69 años;19
febrero;Ambos sexos;De 70 a 74 años;11
febrero;Ambos sexos;De 75 a 79 años;14
febrero;Ambos sexos;De 80 a 84 años;11
febrero;Ambos sexos;De 85 a 89 años;7
febrero;Ambos sexos;De 90 a 94 años;9
febrero;Ambos sexos;De 95 años y más;1
febrero;Hombres;Todas las edades;196
febrero;Hombres;Menores de 15 años;0
febrero;Hombres;De 15 a 29 años;17
febrero;Hombres;De 30 a 39 años;24
febrero;Hombres;De 40 a 44 años;19
febrero;Hombres;De 45 a 49 años;22
febrero;Hombres;De 50 a 54 años;22
febrero;Hombres;De 55 a 59 años;16
febrero;Hombres;De 60 a 64 años;17
febrero;Hombres;De 65 a 69 años;14
febrero;Hombres;De 70 a 74 años;10
febrero;Hombres;De 75 a 79 años;12
febrero;Hombres;De 80 a 84 años;10
febrero;Hombres;De 85 a 89 años;3
febrero;Hombres;De 90 a 94 años;9
febrero;Hombres;De 95 años y más;1
febrero;Mujeres;Todas las edades;56
febrero;Mujeres;Menores de 15 años;1
febrero;Mujeres;De 15 a 29 años;4
febrero;Mujeres;De 30 a 39 años;10
febrero;Mujeres;De 40 a 44 años;5
febrero;Mujeres;De 45 a 49 años;3
febrero;Mujeres;De 50 a 54 años;7
febrero;Mujeres;De 55 a 59 años;4
febrero;Mujeres;De 60 a 64 años;9
febrero;Mujeres;De 65 a 69 años;5
febrero;Mujeres;De 70 a 74 años;1
febrero;Mujeres;De 75 a 79 años;2
febrero;Mujeres;De 80 a 84 años;1
febrero;Mujeres;De 85 a 89 años;4
febrero;Mujeres;De 90 a 94 años;0
febrero;Mujeres;De 95 años y más;0
marzo;Ambos sexos;Todas las edades;288
marzo;Ambos sexos;Menores de 15 años;0
marzo;Ambos sexos;De 15 a 29 años;19
marzo;Ambos sexos;De 30 a 39 años;35
marzo;Ambos sexos;De 40 a 44 años;23
marzo;Ambos sexos;De 45 a 49 años;34
marzo;Ambos sexos;De 50 a 54 años;35
marzo;Ambos sexos;De 55 a 59 años;27
marzo;Ambos sexos;De 60 a 64 años;28
marzo;Ambos sexos;De 65 a 69 años;13
marzo;Ambos sexos;De 70 a 74 años;17
marzo;Ambos sexos;De 75 a 79 años;17
marzo;Ambos sexos;De 80 a 84 años;15
marzo;Ambos sexos;De 85 a 89 años;15
marzo;Ambos sexos;De 90 a 94 años;9
marzo;Ambos sexos;De 95 años y más;1
marzo;Hombres;Todas las edades;205
marzo;Hombres;Menores de 15 años;0
marzo;Hombres;De 15 a 29 años;15
marzo;Hombres;De 30 a 39 años;27
marzo;Hombres;De 40 a 44 años;16
marzo;Hombres;De 45 a 49 años;26
marzo;Hombres;De 50 a 54 años;22
marzo;Hombres;De 55 a 59 años;21
marzo;Hombres;De 60 a 64 años;19
marzo;Hombres;De 65 a 69 años;9
marzo;Hombres;De 70 a 74 años;11
marzo;Hombres;De 75 a 79 años;9
marzo;Hombres;De 80 a 84 años;11
marzo;Hombres;De 85 a 89 años;12
marzo;Hombres;De 90 a 94 años;6
marzo;Hombres;De 95 años y más;1
marzo;Mujeres;Todas las edades;83
marzo;Mujeres;Menores de 15 años;0
