Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Periodo;Total
Total Nacional;;;Total;2024;48.619.695
Total Nacional;;;Total;2023;48.085.361
Total Nacional;;;Total;2022;47.486.727
Total Nacional;;;Total;2021;47.400.798
Total Nacional;;;Hombres;2024;23.826.871
Total Nacional;;;Hombres;2023;23.565.593
Total Nacional;;;Hombres;2022;23.288.747
Total Nacional;;;Hombres;2021;23.248.611
Total Nacional;;;Mujeres;2024;24.792.824
Total Nacional;;;Mujeres;2023;24.519.768
Total Nacional;;;Mujeres;2022;24.197.980
Total Nacional;;;Mujeres;2021;24.152.187
Total Nacional;01 Andalucía;;Total;2024;8.631.862
Total Nacional;01 Andalucía;;Total;2023;8.584.147
Total Nacional;01 Andalucía;;Total;2022;8.511.167
Total Nacional;01 Andalucía;;Total;2021;8.484.804
Total Nacional;01 Andalucía;;Hombres;2024;4.249.355
Total Nacional;01 Andalucía;;Hombres;2023;4.229.831
Total Nacional;01 Andalucía;;Hombres;2022;4.196.620
Total Nacional;01 Andalucía;;Hombres;2021;4.182.620
Total Nacional;01 Andalucía;;Mujeres;2024;4.382.507
Total Nacional;01 Andalucía;;Mujeres;2023;4.354.316
Total Nacional;01 Andalucía;;Mujeres;2022;4.314.547
Total Nacional;01 Andalucía;;Mujeres;2021;4.302.184
Total Nacional;02 Aragón;;Total;2024;1.351.591
Total Nacional;02 Aragón;;Total;2023;1.341.289
Total Nacional;02 Aragón;;Total;2022;1.328.215
Total Nacional;02 Aragón;;Total;2021;1.331.938
Total Nacional;02 Aragón;;Hombres;2024;668.275
Total Nacional;02 Aragón;;Hombres;2023;662.674
Total Nacional;02 Aragón;;Hombres;2022;656.811
Total Nacional;02 Aragón;;Hombres;2021;658.263
Total Nacional;02 Aragón;;Mujeres;2024;683.316
Total Nacional;02 Aragón;;Mujeres;2023;678.615
Total Nacional;02 Aragón;;Mujeres;2022;671.404
Total Nacional;02 Aragón;;Mujeres;2021;673.675
Total Nacional;03 Asturias, Principado de;;Total;2024;1.009.599
Total Nacional;03 Asturias, Principado de;;Total;2023;1.006.060
Total Nacional;03 Asturias, Principado de;;Total;2022;1.004.960
Total Nacional;03 Asturias, Principado de;;Total;2021;1.012.117
Total Nacional;03 Asturias, Principado de;;Hombres;2024;481.478
Total Nacional;03 Asturias, Principado de;;Hombres;2023;479.739
Total Nacional;03 Asturias, Principado de;;Hombres;2022;479.658
Total Nacional;03 Asturias, Principado de;;Hombres;2021;483.186
Total Nacional;03 Asturias, Principado de;;Mujeres;2024;528.121
Total Nacional;03 Asturias, Principado de;;Mujeres;2023;526.321
Total Nacional;03 Asturias, Principado de;;Mujeres;2022;525.302
Total Nacional;03 Asturias, Principado de;;Mujeres;2021;528.931
Total Nacional;04 Balears, Illes;;Total;2024;1.231.768
Total Nacional;04 Balears, Illes;;Total;2023;1.209.906
Total Nacional;04 Balears, Illes;;Total;2022;1.187.043
Total Nacional;04 Balears, Illes;;Total;2021;1.183.415
Total Nacional;04 Balears, Illes;;Hombres;2024;613.910
Total Nacional;04 Balears, Illes;;Hombres;2023;602.649
Total Nacional;04 Balears, Illes;;Hombres;2022;592.100
